city,rating,actor,movie
San Francisco,6, Siddarth,180
San Francisco,6.1, Craig Newmark, 24 Hours on Craigslist
San Francisco,7, David Walton, About a Boy
San Francisco,7.2, Blake Lively, Age of Adaline
San Francisco,7.3, Michael Douglas, Ant-Man
San Francisco,6.3, Kelli Garner, Americana
San Francisco,6, Brendan Fraser, Bedazzled
San Francisco,7.3, Cate Blanchett, Blue Jasmine
San Francisco,5.5, Richard Gere, Bee Season
San Francisco,7, Amy Adams, Big Eyes
San Francisco,5.8, Josh Lucas, Big Sur
San Francisco,5.4, Freddie Prinze, Jr. Boys and Girls
San Francisco,5.4, Annie Q, Cardinal X
San Francisco,6.7, Kevin Epps, Confessions of a Burning Man
San Francisco,7.6, Gary Oldman, Dawn of the Planet of the Apes
San Francisco,6, John Livingston, Dopamine
San Francisco,4.7, Eddie Murphy, Dr. Dolittle 2
San Francisco,5.6, Josh Hartnett, 40 Days and 40 Nights
San Francisco,6.4, Aaron Taylor-Johnson, Godzilla
San Francisco,5.6, James Franco, I Am Michael
San Francisco,6.2, Josh Kornbluth, Haiku Tunnel
San Francisco,6.7, Reese Witherspoon, Just Like Heaven
San Francisco,6.4, Matt Damon, Hereafter
San Francisco,6.4, Mel Brooks, High Crimes
San Francisco,7.5, Jennifer Connelly, House of Sand and Fog
San Francisco,5.6, Eric Bana, Hulk
San Francisco,8, , I's
San Francisco,7.2, Michael Fassbender, Steve Jobs
San Francisco,1.8, Jenn Gotzon, Julie and Jack
San Francisco,8.2, Jonathan Groff, Looking
San Francisco,7.5, Sean Penn, Milk
San Francisco,6.5, Aaron Paul, Need For Speed
San Francisco,6.2, Joyce Carlin, Night of Henna
San Francisco,6.1, Garrett Hedlund, On the Road
San Francisco,8.6, Amy Poehler, Parks and Recreation
San Francisco,5.4, Kara Hayward, Quitters
San Francisco,5.9, Alicia Witt, Playing Mona Lisa
San Francisco,8, Josh Kornbluth, Red Diaper Baby
San Francisco,6.6, Radha Mitchell, Red Widow
San Francisco,6.9, Anthony Rapp, Rent
San Francisco,6.6, Chris Klein, Rollerball
San Francisco,6.1, Jet Li, Romeo Must Die
San Francisco,6, Dwayne Johnson, San Andreas
San Francisco,5.7, Maggie Cheung, Sausalito
San Francisco,8.3, Jamie Clayton, Sense8
San Francisco,6.9, John Cusack, Serendipity
San Francisco,6.7, Keanu Reeves, Sweet November
San Francisco,6.4, Arnold Schwarzenegger, Terminator - Genisys
San Francisco,7, Sean Penn, The Assassination of Richard Nixon
San Francisco,8.6, John Snowden, The Bridge
San Francisco,7.2, Noah Wyle, The Californians
San Francisco,5.5, Aaron Eckhart, The Core
San Francisco,6.9, Alexander Skarsgard, The Diary of a Teenage Girl
San Francisco,6.3, Vince Vaughn, The Internship
San Francisco,6.3, Julie Andrews, The Princess Diaries
San Francisco,8, Will Smith, The Pursuit of Happyness
San Francisco,5.2, Cameron Diaz, The Sweetest Thing
San Francisco,5.3, Jennifer Lopez, The Wedding Planner
San Francisco,5.4, Justin Chambers, The Zodiac
San Francisco,5.3, Ashley Judd, Twisted
San Francisco,6.8, Diane Lane, Under the Tuscan Sun
San Francisco,5.3, Marlee Matlin, What the Bleep Do We Know
San Francisco,5.3, Penelope Cruz, Woman on Top
San Francisco,7.7, Jake Gyllenhaal, Zodiac
San Francisco,8.8, Taye Diggs, Murder in the First Season 1
San Francisco,6.7, Adam Rose, Budding Prospects Pilot
San Francisco,6.4, Danny Glover, Pushing Dead
San Francisco,7.1, Guy Pierce, When We Rise
San Francisco,6.8, Brian Cox, Etruscan Smile
San Francisco,5.5, Philip Ng, Birth of the Dragon
San Francisco,7, Britt Robertson, GirlBoss
San Francisco,6.7, Brad Hunt, Cherish
San Francisco,6.2, Claudia Christian, Never Die Twice
San Francisco,7.4, Sarah Jones, Alcatraz
San Francisco,6.6, Chris Ferreira, Groove
San Francisco,6.3, Silas Howard, By Hook or By Crook
San Francisco,6.3, , Live Nude Girls Unite
San Francisco,6.3, Nicole Kidman, Hemingway & Gelhorn
San Francisco,7, Bayar, Babies
San Francisco,5.3, Timothy Hutton, Just One Night
San Francisco,6.5, Julia Roberts, Mona Lisa Smile
San Francisco,5.1, Rob Lowe, Knife Fight
San Francisco,8.1, Robert McNamara, The Fog of War
San Francisco,7, Jacob Kornbluth, Love & Taxes
San Francisco,4.6, Nick Tagas, American Yearbook
San Francisco,4, Giuseppe Andrews, Tweek City
San Francisco,7.2, Philip Seymour Hoffman, The Master
San Francisco,6.8, Adam Sandler, 50 First Dates
San Francisco,5.8, Jessica Rothe, Summertime
San Francisco,8.1, Hugh Laurie, Chance Season 2
San Francisco,7.3, Steve Carell, Beautiful Boy
San Francisco,6.7, Tom Hardy, Venom
San Francisco,7.3, Jimmie Fails, The Last Black Man in San Francisco
San Francisco,7.4, Laura Linney, Tales of the City
San Francisco,7.1, Paul Rudd, Ant-Man and the Wasp
San Francisco,6.8, Ali Wong, Always Be My Maybe
San Francisco,6.3, Tammy Cheng, A Taiwanese Tale of Two Cities
San Francisco,7.9, Brit Marling, The OA Part II
San Francisco,6.3, Jon Norman Schneider, Bitter Melon
