city,genre,year,decade,id,title,release_date,net,budget,revenue,vote_average
San Francisco,Drama,2004,2000,tt0364961,The Assassination of Richard Nixon,2004-05-17,3537961,0,3537961,6.7
San Francisco,History,2004,2000,tt0364961,The Assassination of Richard Nixon,2004-05-17,3537961,0,3537961,6.7
San Francisco,Thriller,2004,2000,tt0364961,The Assassination of Richard Nixon,2004-05-17,3537961,0,3537961,6.7
San Francisco,Drama,2006,2005,tt0454921,The Pursuit of Happyness,2006-12-14,252077295,55000000,307077295,7.9
San Francisco,Fantasy,2000,2000,tt0230030,Bedazzled,2000-10-19,42383208,48000000,90383208,5.8
San Francisco,Comedy,2000,2000,tt0230030,Bedazzled,2000-10-19,42383208,48000000,90383208,5.8
San Francisco,Romance,2000,2000,tt0230030,Bedazzled,2000-10-19,42383208,48000000,90383208,5.8
San Francisco,Documentary,2006,2005,tt0799954,The Bridge,2006-10-27,154780,25000,179780,6.9
San Francisco,Comedy,2004,2000,tt0343660,50 First Dates,2004-02-13,121482882,75000000,196482882,6.8
San Francisco,Romance,2004,2000,tt0343660,50 First Dates,2004-02-13,121482882,75000000,196482882,6.8
San Francisco,Drama,2005,2005,tt0294870,Rent,2005-11-17,-8329380,40000000,31670620,6.9
San Francisco,Romance,2005,2005,tt0294870,Rent,2005-11-17,-8329380,40000000,31670620,6.9
San Francisco,Drama,2001,2000,tt0230838,Sweet November,2001-02-16,25754228,40000000,65754228,6.7
San Francisco,Romance,2001,2000,tt0230838,Sweet November,2001-02-16,25754228,40000000,65754228,6.7
San Francisco,Action,2003,2000,tt0286716,Hulk,2003-06-19,108360480,137000000,245360480,5.5
San Francisco,Science Fiction,2003,2000,tt0286716,Hulk,2003-06-19,108360480,137000000,245360480,5.5
San Francisco,Crime,2007,2005,tt0443706,Zodiac,2007-03-02,19785914,65000000,84785914,7.5
San Francisco,Drama,2007,2005,tt0443706,Zodiac,2007-03-02,19785914,65000000,84785914,7.5
San Francisco,Mystery,2007,2005,tt0443706,Zodiac,2007-03-02,19785914,65000000,84785914,7.5
San Francisco,Thriller,2007,2005,tt0443706,Zodiac,2007-03-02,19785914,65000000,84785914,7.5
San Francisco,Comedy,2001,2000,tt0209475,The Wedding Planner,2001-01-26,59728529,35000000,94728529,5.8
San Francisco,Romance,2001,2000,tt0209475,The Wedding Planner,2001-01-26,59728529,35000000,94728529,5.8
San Francisco,Action,2000,2000,tt0165929,Romeo Must Die,2000-03-20,66036760,25000000,91036760,6.0
San Francisco,Crime,2000,2000,tt0165929,Romeo Must Die,2000-03-20,66036760,25000000,91036760,6.0
San Francisco,Thriller,2000,2000,tt0165929,Romeo Must Die,2000-03-20,66036760,25000000,91036760,6.0
San Francisco,Comedy,2002,2000,tt0243736,40 Days and 40 Nights,2002-03-01,-17000000,17000000,0,5.3
San Francisco,Romance,2002,2000,tt0243736,40 Days and 40 Nights,2002-03-01,-17000000,17000000,0,5.3
San Francisco,Comedy,2005,2005,tt0425123,Just Like Heaven,2005-09-16,44854431,58000000,102854431,6.8
San Francisco,Fantasy,2005,2005,tt0425123,Just Like Heaven,2005-09-16,44854431,58000000,102854431,6.8
San Francisco,Romance,2005,2005,tt0425123,Just Like Heaven,2005-09-16,44854431,58000000,102854431,6.8
San Francisco,Action,2003,2000,tt0298814,The Core,2003-03-28,14208267,60000000,74208267,5.6
San Francisco,Thriller,2003,2000,tt0298814,The Core,2003-03-28,14208267,60000000,74208267,5.6
San Francisco,Adventure,2003,2000,tt0298814,The Core,2003-03-28,14208267,60000000,74208267,5.6
San Francisco,Science Fiction,2003,2000,tt0298814,The Core,2003-03-28,14208267,60000000,74208267,5.6
San Francisco,Comedy,2001,2000,tt0240890,Serendipity,2001-10-05,49516304,28000000,77516304,6.8
San Francisco,Romance,2001,2000,tt0240890,Serendipity,2001-10-05,49516304,28000000,77516304,6.8
San Francisco,Drama,2001,2000,tt0240890,Serendipity,2001-10-05,49516304,28000000,77516304,6.8
San Francisco,Comedy,2001,2000,tt0247638,The Princess Diaries,2001-08-03,128335153,37000000,165335153,6.8
San Francisco,Family,2001,2000,tt0247638,The Princess Diaries,2001-08-03,128335153,37000000,165335153,6.8
San Francisco,Romance,2001,2000,tt0247638,The Princess Diaries,2001-08-03,128335153,37000000,165335153,6.8
San Francisco,History,2008,2005,tt1013753,Milk,2008-11-05,34586584,20000000,54586584,7.3
San Francisco,Drama,2008,2005,tt1013753,Milk,2008-11-05,34586584,20000000,54586584,7.3
San Francisco,Comedy,2000,2000,tt0204175,Boys and Girls,2000-06-16,4627372,16000000,20627372,5.8
San Francisco,Drama,2000,2000,tt0204175,Boys and Girls,2000-06-16,4627372,16000000,20627372,5.8
San Francisco,Romance,2000,2000,tt0204175,Boys and Girls,2000-06-16,4627372,16000000,20627372,5.8
San Francisco,Comedy,2001,2000,tt0240462,Dr. Dolittle 2,2001-06-22,106104344,70000000,176104344,5.2
San Francisco,Family,2001,2000,tt0240462,Dr. Dolittle 2,2001-06-22,106104344,70000000,176104344,5.2
San Francisco,Romance,2001,2000,tt0240462,Dr. Dolittle 2,2001-06-22,106104344,70000000,176104344,5.2
San Francisco,Fantasy,2001,2000,tt0240462,Dr. Dolittle 2,2001-06-22,106104344,70000000,176104344,5.2
San Francisco,Romance,2003,2000,tt0328589,Under the Tuscan Sun,2003-09-20,40878723,18000000,58878723,6.6
San Francisco,Comedy,2003,2000,tt0328589,Under the Tuscan Sun,2003-09-20,40878723,18000000,58878723,6.6
San Francisco,Drama,2003,2000,tt0315983,House of Sand and Fog,2003-12-19,442795,16500000,16942795,7.1
San Francisco,Crime,2005,2005,tt0371739,The Zodiac,2005-07-31,0,0,0,5.7
San Francisco,Drama,2005,2005,tt0371739,The Zodiac,2005-07-31,0,0,0,5.7
San Francisco,Thriller,2005,2005,tt0371739,The Zodiac,2005-07-31,0,0,0,5.7
San Francisco,Action,2002,2000,tt0246894,Rollerball,2002-02-08,-44147236,70000000,25852764,4.0
San Francisco,Science Fiction,2002,2000,tt0246894,Rollerball,2002-02-08,-44147236,70000000,25852764,4.0
San Francisco,Thriller,2002,2000,tt0246894,Rollerball,2002-02-08,-44147236,70000000,25852764,4.0
San Francisco,Drama,2002,2000,tt0257756,High Crimes,2002-04-05,21781810,42000000,63781810,6.2
San Francisco,Mystery,2002,2000,tt0257756,High Crimes,2002-04-05,21781810,42000000,63781810,6.2
San Francisco,Thriller,2002,2000,tt0257756,High Crimes,2002-04-05,21781810,42000000,63781810,6.2
San Francisco,Crime,2002,2000,tt0257756,High Crimes,2002-04-05,21781810,42000000,63781810,6.2
San Francisco,Romance,2002,2000,tt0253867,The Sweetest Thing,2002-04-12,25696770,43000000,68696770,5.5
San Francisco,Comedy,2002,2000,tt0253867,The Sweetest Thing,2002-04-12,25696770,43000000,68696770,5.5
San Francisco,Drama,2003,2000,tt0304415,Mona Lisa Smile,2003-12-19,-65000000,65000000,0,6.9
San Francisco,Romance,2003,2000,tt0304415,Mona Lisa Smile,2003-12-19,-65000000,65000000,0,6.9
San Francisco,War,2003,2000,tt0317910,The Fog of War,2003-12-09,0,0,0,8.0
San Francisco,Documentary,2003,2000,tt0317910,The Fog of War,2003-12-09,0,0,0,8.0
San Francisco,History,2003,2000,tt0317910,The Fog of War,2003-12-09,0,0,0,8.0
San Francisco,Action,2004,2000,tt0315297,Twisted,2004-02-27,-24805000,50000000,25195000,5.4
San Francisco,Adventure,2004,2000,tt0315297,Twisted,2004-02-27,-24805000,50000000,25195000,5.4
San Francisco,Crime,2004,2000,tt0315297,Twisted,2004-02-27,-24805000,50000000,25195000,5.4
San Francisco,Drama,2004,2000,tt0315297,Twisted,2004-02-27,-24805000,50000000,25195000,5.4
San Francisco,Thriller,2004,2000,tt0315297,Twisted,2004-02-27,-24805000,50000000,25195000,5.4
San Francisco,Comedy,2000,2000,tt0206420,Woman on Top,2000-09-22,-8000000,8000000,0,5.6
San Francisco,Drama,2000,2000,tt0206420,Woman on Top,2000-09-22,-8000000,8000000,0,5.6
San Francisco,Romance,2000,2000,tt0206420,Woman on Top,2000-09-22,-8000000,8000000,0,5.6
San Francisco,Fantasy,2000,2000,tt0206420,Woman on Top,2000-09-22,-8000000,8000000,0,5.6
San Francisco,Comedy,2002,2000,tt0298798,Cherish,2002-01-17,0,0,0,6.5
San Francisco,Drama,2002,2000,tt0298798,Cherish,2002-01-17,0,0,0,6.5
San Francisco,Mystery,2002,2000,tt0298798,Cherish,2002-01-17,0,0,0,6.5
San Francisco,Thriller,2002,2000,tt0298798,Cherish,2002-01-17,0,0,0,6.5
San Francisco,Drama,2000,2000,tt0212974,Groove,2000-06-08,0,0,0,6.1
San Francisco,Music,2000,2000,tt0212974,Groove,2000-06-08,0,0,0,6.1
San Francisco,Romance,2000,2000,tt0212974,Groove,2000-06-08,0,0,0,6.1
San Francisco,Drama,2005,2005,tt0351885,Tweek City,2005-05-08,0,0,0,9.3
San Francisco,Drama,2005,2005,tt0387059,Bee Season,2005-09-03,-7143011,14000000,6856989,5.3
San Francisco,Family,2005,2005,tt0387059,Bee Season,2005-09-03,-7143011,14000000,6856989,5.3
San Francisco,Documentary,2003,2000,tt0357567,Confessions of a Burning Man,2003-10-23,0,0,0,4.0
San Francisco,Drama,2010,2010,tt1212419,Hereafter,2010-10-22,55197635,50000000,105197635,6.0
San Francisco,Fantasy,2010,2010,tt1212419,Hereafter,2010-10-22,55197635,50000000,105197635,6.0
San Francisco,Drama,2006,2005,tt0907842,The Bridge,2006-09-01,0,0,0,7.0
San Francisco,Comedy,2003,2000,tt0342300,Dopamine,2003-10-03,22278,0,22278,4.7
San Francisco,Romance,2003,2000,tt0342300,Dopamine,2003-10-03,22278,0,22278,4.7
San Francisco,Drama,2003,2000,tt0358722,Swing,2003-10-09,0,0,0,0.0
San Francisco,Romance,2003,2000,tt0358722,Swing,2003-10-09,0,0,0,0.0
San Francisco,Drama,2011,2010,tt1855110,180,2011-06-25,0,0,0,5.0
San Francisco,Romance,2011,2010,tt1855110,180,2011-06-25,0,0,0,5.0
San Francisco,Drama,2012,2010,tt1560747,The Master,2012-09-07,-3741940,32000000,28258060,7.2
San Francisco,Drama,2005,2005,tt0377043,The Californians,2005-10-21,0,0,0,4.0
San Francisco,Comedy,2005,2005,tt0377043,The Californians,2005-10-21,0,0,0,4.0
San Francisco,Comedy,2000,2000,tt0201901,Just One Night,2000-09-26,0,0,0,7.0
San Francisco,Romance,2000,2000,tt0201901,Just One Night,2000-09-26,0,0,0,7.0
San Francisco,Comedy,2001,2000,tt0273253,Haiku Tunnel,2001-09-07,251058,0,251058,7.0
San Francisco,Adventure,2012,2010,tt0337692,On the Road,2012-05-22,-16215682,25000000,8784318,5.6
San Francisco,Drama,2012,2010,tt0337692,On the Road,2012-05-22,-16215682,25000000,8784318,5.6
San Francisco,Drama,2014,2010,tt1126590,Big Eyes,2014-12-24,18883511,10000000,28883511,7.0
San Francisco,Comedy,2000,2000,tt0187559,Playing Mona Lisa,2000-05-01,-3000000,3000000,0,6.0
San Francisco,Comedy,2005,2005,tt0379402,Night of Henna,2005-03-11,0,0,0,0.0
San Francisco,Romance,2005,2005,tt0379402,Night of Henna,2005-03-11,0,0,0,0.0
San Francisco,Science Fiction,2015,2015,tt0478970,Ant-Man,2015-07-14,389311965,130000000,519311965,7.1
San Francisco,Action,2015,2015,tt0478970,Ant-Man,2015-07-14,389311965,130000000,519311965,7.1
