city,genre,year,decade,id,title,release_date,net,budget,revenue,vote_average
San Francisco,Comedy,1994,1990,tt0109830,Forrest Gump,1994-07-06,622387716,55000000,677387716,8.4
San Francisco,Drama,1994,1990,tt0109830,Forrest Gump,1994-07-06,622387716,55000000,677387716,8.4
San Francisco,Romance,1994,1990,tt0109830,Forrest Gump,1994-07-06,622387716,55000000,677387716,8.4
San Francisco,Adventure,1989,1980,tt0097576,Indiana Jones and the Last Crusade,1989-05-24,426171806,48000000,474171806,7.8
San Francisco,Action,1989,1980,tt0097576,Indiana Jones and the Last Crusade,1989-05-24,426171806,48000000,474171806,7.8
San Francisco,Romance,1990,1990,tt0100405,Pretty Woman,1990-03-23,449000000,14000000,463000000,7.3
San Francisco,Comedy,1990,1990,tt0100405,Pretty Woman,1990-03-23,449000000,14000000,463000000,7.3
San Francisco,Science Fiction,1986,1980,tt0092007,Star Trek IV: The Voyage Home,1986-11-26,109000000,24000000,133000000,7.2
San Francisco,Adventure,1986,1980,tt0092007,Star Trek IV: The Voyage Home,1986-11-26,109000000,24000000,133000000,7.2
San Francisco,Science Fiction,1991,1990,tt0102975,Star Trek VI: The Undiscovered Country,1991-12-06,69900000,27000000,96900000,6.9
San Francisco,Action,1991,1990,tt0102975,Star Trek VI: The Undiscovered Country,1991-12-06,69900000,27000000,96900000,6.9
San Francisco,Adventure,1991,1990,tt0102975,Star Trek VI: The Undiscovered Country,1991-12-06,69900000,27000000,96900000,6.9
San Francisco,Thriller,1991,1990,tt0102975,Star Trek VI: The Undiscovered Country,1991-12-06,69900000,27000000,96900000,6.9
San Francisco,Comedy,1971,1970,tt0067185,Harold and Maude,1971-12-20,-1200000,1200000,0,7.7
San Francisco,Drama,1971,1970,tt0067185,Harold and Maude,1971-12-20,-1200000,1200000,0,7.7
San Francisco,Romance,1971,1970,tt0067185,Harold and Maude,1971-12-20,-1200000,1200000,0,7.7
San Francisco,Thriller,1992,1990,tt0103772,Basic Instinct,1992-03-20,303927224,49000000,352927224,6.8
San Francisco,Mystery,1992,1990,tt0103772,Basic Instinct,1992-03-20,303927224,49000000,352927224,6.8
San Francisco,Mystery,1958,1950,tt0052357,Vertigo,1958-05-09,25521000,2479000,28000000,8.2
San Francisco,Romance,1958,1950,tt0052357,Vertigo,1958-05-09,25521000,2479000,28000000,8.2
San Francisco,Thriller,1958,1950,tt0052357,Vertigo,1958-05-09,25521000,2479000,28000000,8.2
San Francisco,Mystery,1964,1960,tt0058329,Marnie,1964-07-09,4864839,2135161,7000000,7.3
San Francisco,Thriller,1964,1960,tt0058329,Marnie,1964-07-09,4864839,2135161,7000000,7.3
San Francisco,Horror,1963,1960,tt0056869,The Birds,1963-03-28,8903529,2500000,11403529,7.5
San Francisco,Crime,1974,1970,tt0071360,The Conversation,1974-04-07,2820000,1600000,4420000,7.6
San Francisco,Drama,1974,1970,tt0071360,The Conversation,1974-04-07,2820000,1600000,4420000,7.6
San Francisco,Mystery,1974,1970,tt0071360,The Conversation,1974-04-07,2820000,1600000,4420000,7.6
San Francisco,Action,1999,1990,tt0133093,The Matrix,1999-03-30,400517383,63000000,463517383,8.1
San Francisco,Science Fiction,1999,1990,tt0133093,The Matrix,1999-03-30,400517383,63000000,463517383,8.1
San Francisco,Drama,1950,1950,tt0042192,All About Eve,1950-10-06,-1249562,1400000,150438,8.2
San Francisco,Adventure,1985,1980,tt0090264,A View to a Kill,1985-05-24,122427960,30000000,152427960,6.1
San Francisco,Action,1985,1980,tt0090264,A View to a Kill,1985-05-24,122427960,30000000,152427960,6.1
San Francisco,Thriller,1985,1980,tt0090264,A View to a Kill,1985-05-24,122427960,30000000,152427960,6.1
San Francisco,Comedy,1993,1990,tt0107614,Mrs. Doubtfire,1993-11-24,416286195,25000000,441286195,7.2
San Francisco,Drama,1993,1990,tt0107614,Mrs. Doubtfire,1993-11-24,416286195,25000000,441286195,7.2
San Francisco,Family,1993,1990,tt0107614,Mrs. Doubtfire,1993-11-24,416286195,25000000,441286195,7.2
San Francisco,Drama,1998,1990,tt0120632,City of Angels,1998-04-10,143685114,55000000,198685114,6.7
San Francisco,Fantasy,1998,1990,tt0120632,City of Angels,1998-04-10,143685114,55000000,198685114,6.7
San Francisco,Romance,1998,1990,tt0120632,City of Angels,1998-04-10,143685114,55000000,198685114,6.7
San Francisco,Comedy,1973,1970,tt0069704,American Graffiti,1973-08-01,139223000,777000,140000000,7.1
San Francisco,Drama,1973,1970,tt0069704,American Graffiti,1973-08-01,139223000,777000,140000000,7.1
San Francisco,Drama,2004,2000,tt0364961,The Assassination of Richard Nixon,2004-05-17,3537961,0,3537961,6.7
San Francisco,History,2004,2000,tt0364961,The Assassination of Richard Nixon,2004-05-17,3537961,0,3537961,6.7
San Francisco,Thriller,2004,2000,tt0364961,The Assassination of Richard Nixon,2004-05-17,3537961,0,3537961,6.7
San Francisco,Drama,1962,1960,tt0055798,Birdman of Alcatraz,1962-07-03,450000,2650000,3100000,7.3
San Francisco,Action,1968,1960,tt0062765,Bullitt,1968-12-19,36800873,5500000,42300873,7.2
San Francisco,Crime,1968,1960,tt0062765,Bullitt,1968-12-19,36800873,5500000,42300873,7.2
San Francisco,Drama,1968,1960,tt0062765,Bullitt,1968-12-19,36800873,5500000,42300873,7.2
San Francisco,Thriller,1968,1960,tt0062765,Bullitt,1968-12-19,36800873,5500000,42300873,7.2
San Francisco,Action,1971,1970,tt0066999,Dirty Harry,1971-07-14,25976000,10000000,35976000,7.5
San Francisco,Crime,1971,1970,tt0066999,Dirty Harry,1971-07-14,25976000,10000000,35976000,7.5
San Francisco,Thriller,1971,1970,tt0066999,Dirty Harry,1971-07-14,25976000,10000000,35976000,7.5
San Francisco,Drama,2006,2000,tt0454921,The Pursuit of Happyness,2006-12-14,252077295,55000000,307077295,7.9
San Francisco,Fantasy,2000,2000,tt0230030,Bedazzled,2000-10-19,42383208,48000000,90383208,5.8
San Francisco,Comedy,2000,2000,tt0230030,Bedazzled,2000-10-19,42383208,48000000,90383208,5.8
San Francisco,Romance,2000,2000,tt0230030,Bedazzled,2000-10-19,42383208,48000000,90383208,5.8
San Francisco,Crime,1995,1990,tt0113957,The Net,1995-07-28,88627965,22000000,110627965,5.9
San Francisco,Drama,1995,1990,tt0113957,The Net,1995-07-28,88627965,22000000,110627965,5.9
San Francisco,Mystery,1995,1990,tt0113957,The Net,1995-07-28,88627965,22000000,110627965,5.9
San Francisco,Thriller,1995,1990,tt0113957,The Net,1995-07-28,88627965,22000000,110627965,5.9
San Francisco,Action,1995,1990,tt0113957,The Net,1995-07-28,88627965,22000000,110627965,5.9
